hour,day,month,trip_seconds,trip_miles,trip_total,_#NO_CLASS#_
0.718750,0.600000,0.181818,0.139272,0.920000,0.049698,-1
0.520833,0.200000,0.272727,0.101631,0.280000,0.022315,-1
0.708333,0.566667,0.090909,0.101631,0.820000,0.032383,-1
0.427083,0.200000,1.000000,0.410289,2.000000,0.099497,-1
0.843750,0.433333,0.272727,0.033877,0.260000,0.014262,-1
0.385417,0.000000,0.727273,0.033877,0.160000,0.019262,-1
0.781250,0.666667,0.090909,0.101631,0.900000,0.041779,-1
0.354167,0.833333,0.545455,0.026349,0.100000,0.009228,-1
0.531250,0.600000,0.636364,0.094103,0.360000,0.028121,-1
0.239583,0.533333,0.181818,0.026349,0.080000,0.012584,-1
0.843750,0.300000,0.727273,0.063990,0.400000,0.018289,-1
0.895833,0.166667,0.545455,0.018821,0.180000,0.010235,-1
0.302083,0.866667,0.000000,0.056462,0.320000,0.027013,-1
0.354167,0.633333,0.818182,0.161857,3.120000,0.102181,-1
0.822917,0.333333,1.000000,0.056462,0.260000,0.016275,-1
0.687500,0.766667,0.181818,0.131744,1.080000,0.042450,-1
0.718750,0.000000,0.636364,0.131744,0.600000,0.037081,-1
0.562500,0.666667,0.545455,0.079046,0.320000,0.028121,-1
0.354167,0.300000,0.181818,0.079046,0.280000,0.030201,-1
0.729167,0.133333,0.636364,0.161857,1.360000,0.061946,-1
0.187500,0.533333,0.727273,0.154329,1.140000,0.061946,-1
0.437500,0.233333,0.545455,0.259724,1.440000,0.065940,-1
0.541667,0.700000,0.818182,0.041405,0.120000,0.016208,-1
0.885417,0.800000,0.545455,0.109159,0.560000,0.039631,-1
0.375000,0.433333,0.636364,0.063990,0.220000,0.021644,-1
0.291667,0.500000,0.272727,0.094103,0.420000,0.022987,-1
0.197917,0.566667,0.909091,0.124216,1.020000,0.039094,-1
0.958333,0.266667,0.090909,0.199498,3.820000,0.129027,-1
0.770833,0.000000,0.454545,0.116688,1.220000,0.044463,-1
0.208333,0.166667,0.909091,0.056462,0.380000,0.018960,-1
0.343750,0.966667,0.545455,0.319950,3.480000,0.144094,-1
0.885417,0.033333,0.363636,0.094103,1.140000,0.054698,-1
0.302083,0.966667,0.363636,0.101631,0.340000,0.036275,-1
0.406250,0.600000,0.727273,0.079046,0.260000,0.025000,-1
0.666667,0.366667,0.181818,0.071518,0.860000,0.040201,-1
0.718750,0.233333,1.000000,0.033877,0.460000,0.025000,-1
0.572917,0.233333,0.272727,0.048934,0.260000,0.014933,-1
0.687500,0.133333,0.181818,0.101631,0.520000,0.032718,-1
0.427083,0.333333,0.454545,0.071518,0.320000,0.026678,-1
0.614583,0.633333,0.454545,0.116688,0.200000,0.029027,-1
0.302083,0.933333,0.818182,0.033877,0.180000,0.012584,-1
0.364583,0.266667,0.636364,0.146801,0.800000,0.043121,-1
0.427083,0.933333,0.272727,0.079046,0.280000,0.023289,-1
0.708333,0.900000,0.000000,0.003764,0.000000,0.004866,-1
0.791667,0.466667,0.363636,0.033877,0.200000,0.011577,-1
0.593750,0.933333,0.363636,0.048934,0.160000,0.017651,-1
0.750000,0.533333,0.818182,0.041405,0.100000,0.014262,-1
0.593750,0.300000,0.181818,0.086575,0.440000,0.023658,-1
0.739583,0.933333,0.272727,0.048934,0.260000,0.014933,-1
0.333333,0.700000,0.363636,0.139272,1.300000,0.059228,-1
0.750000,1.000000,0.818182,0.003764,0.000000,0.014262,-1
0.187500,0.500000,1.000000,0.229611,1.500000,0.060570,-1
0.697917,0.166667,0.454545,0.109159,1.260000,0.045805,-1
0.583333,0.733333,0.454545,0.063990,0.280000,0.016946,-1
0.208333,0.733333,0.818182,0.116688,0.400000,0.031342,-1
0.760417,0.833333,0.090909,0.139272,2.980000,0.117517,-1
0.843750,0.066667,0.818182,0.018821,0.120000,0.011577,-1
0.906250,0.000000,0.727273,0.026349,0.140000,0.010235,-1
0.760417,0.466667,0.454545,0.086575,0.500000,0.024329,-1
0.968750,0.366667,0.636364,0.086575,0.900000,0.037752,-1
0.812500,0.000000,0.636364,0.094103,0.360000,0.027685,-1
0.812500,0.533333,0.545455,0.033877,0.200000,0.021812,-1
0.895833,0.666667,0.363636,0.063990,0.460000,0.026510,-1
0.604167,0.133333,1.000000,0.116688,0.540000,0.027685,-1
0.677083,0.200000,0.818182,0.033877,0.160000,0.014262,-1
0.781250,0.900000,0.545455,0.071518,0.740000,0.034564,-1
0.531250,0.566667,0.909091,0.063990,0.220000,0.023188,-1
0.583333,0.033333,0.727273,0.079046,0.340000,0.020302,-1
0.489583,0.933333,1.000000,0.079046,0.280000,0.023993,-1
0.166667,0.200000,0.272727,0.222083,1.860000,0.071980,-1
0.656250,1.000000,0.818182,0.063990,0.260000,0.024899,-1
0.802083,0.533333,0.000000,0.109159,0.940000,0.037752,-1
0.812500,0.366667,0.454545,0.026349,0.140000,0.014262,-1
0.562500,0.600000,0.181818,0.063990,0.140000,0.020336,-1
0.208333,0.866667,0.818182,0.176913,0.980000,0.051174,-1
0.718750,0.366667,0.727273,0.169385,1.000000,0.047483,-1
0.572917,0.766667,0.909091,0.071518,0.260000,0.021644,-1
0.895833,0.433333,0.181818,0.124216,1.120000,0.051174,-1
0.281250,0.966667,0.000000,0.079046,0.280000,0.018289,-1
0.427083,0.233333,0.545455,0.071518,0.260000,0.017617,-1
0.958333,0.233333,0.363636,0.026349,0.160000,0.016846,-1
0.895833,0.800000,0.272727,0.079046,0.860000,0.041812,-1
0.270833,0.000000,0.454545,0.191970,0.440000,0.035738,-1
0.354167,0.500000,0.909091,0.026349,0.080000,0.015235,-1
0.822917,0.066667,0.272727,0.011292,0.080000,0.007550,-1
0.677083,0.433333,0.545455,0.101631,0.960000,0.036409,-1
0.864583,0.366667,0.181818,0.033877,0.220000,0.016611,-1
0.781250,0.100000,0.363636,0.086575,0.520000,0.045302,-1
0.572917,0.633333,0.454545,0.071518,0.160000,0.014933,-1
0.760417,0.966667,0.545455,0.079046,0.240000,0.017617,-1
0.437500,0.966667,1.000000,0.101631,0.600000,0.027013,-1
0.739583,0.166667,0.090909,0.033877,0.280000,0.016275,-1
0.843750,0.633333,0.181818,0.026349,0.120000,0.016040,-1
0.395833,0.533333,0.636364,0.033877,0.180000,0.019262,-1
0.708333,0.633333,0.181818,0.086575,0.340000,0.021644,-1
0.656250,0.600000,0.636364,0.018821,0.100000,0.011577,-1
0.291667,0.000000,0.727273,0.094103,0.360000,0.024329,-1
0.354167,0.766667,0.545455,0.116688,0.560000,0.031711,-1
0.375000,0.433333,0.818182,0.086575,0.220000,0.034396,-1
0.895833,0.066667,0.181818,0.041405,0.100000,0.011577,-1
0.781250,0.633333,0.818182,0.026349,0.160000,0.014430,-1
0.593750,0.933333,0.000000,0.079046,0.380000,0.025336,-1
0.510417,0.600000,0.090909,0.011292,0.080000,0.006208,-1
0.375000,0.600000,0.181818,0.033877,0.140000,0.014430,-1
0.510417,0.300000,0.272727,0.402760,3.540000,0.134396,-1
0.239583,0.600000,0.090909,0.041405,0.200000,0.016846,-1
0.281250,0.800000,0.181818,0.026349,0.200000,0.020134,-1
0.677083,0.266667,0.818182,0.011292,0.120000,0.011577,-1
0.208333,0.033333,0.000000,0.101631,1.040000,0.037752,-1
0.177083,0.866667,0.181818,0.124216,1.060000,0.040436,-1
0.312500,0.533333,0.545455,0.041405,0.200000,0.014262,-1
0.958333,0.500000,0.818182,0.041405,0.360000,0.016275,-1
0.437500,0.833333,0.454545,0.048934,0.260000,0.020570,-1
0.864583,0.166667,0.545455,0.033877,0.280000,0.018289,-1
0.958333,0.766667,0.272727,0.124216,0.840000,0.037081,-1
0.625000,0.400000,0.545455,0.063990,0.500000,0.028725,-1
0.739583,0.300000,0.454545,0.033877,0.320000,0.018960,-1
0.770833,0.800000,0.272727,0.026349,0.120000,0.010235,-1
0.614583,0.033333,0.181818,0.056462,0.480000,0.022315,-1
0.552083,0.266667,0.454545,0.086575,0.180000,0.035235,-1
0.739583,0.200000,0.909091,0.026349,0.020000,0.009228,-1
0.572917,0.233333,0.636364,0.282309,3.680000,0.125000,-1
0.562500,0.333333,0.454545,0.018821,0.140000,0.008893,-1
0.822917,0.866667,0.181818,0.011292,0.140000,0.008893,-1
0.270833,0.000000,0.727273,0.101631,0.380000,0.025000,-1
0.979167,0.366667,0.454545,0.101631,1.220000,0.044463,-1
0.770833,0.666667,0.181818,0.041405,0.100000,0.018456,-1
0.937500,0.566667,0.727273,0.146801,1.180000,0.049161,-1
0.666667,0.333333,0.909091,0.079046,0.380000,0.019631,-1
0.947917,0.733333,0.545455,0.184442,0.200000,0.033054,-1
0.802083,0.433333,0.090909,0.048934,0.200000,0.020973,-1
0.885417,0.600000,1.000000,0.026349,0.160000,0.020302,-1
0.593750,0.466667,0.272727,0.176913,1.400000,0.056544,-1
0.416667,0.733333,0.545455,0.470514,3.860000,0.169866,-1
0.864583,0.933333,0.000000,0.131744,0.780000,0.035067,-1
0.541667,0.666667,0.090909,0.026349,0.080000,0.014597,-1
0.833333,0.900000,0.454545,0.101631,0.520000,0.025671,-1
0.520833,0.233333,0.363636,0.124216,0.220000,0.028691,-1
0.958333,0.066667,0.727273,0.041405,0.280000,0.014262,-1
0.635417,0.366667,0.909091,0.116688,0.920000,0.054128,-1
0.812500,0.733333,0.272727,0.094103,0.480000,0.031342,-1
0.604167,0.333333,0.727273,0.048934,0.200000,0.022013,-1
0.239583,0.033333,0.909091,0.003764,0.000000,0.026007,-1
0.645833,0.233333,0.454545,0.139272,1.640000,0.073188,-1
0.385417,0.333333,0.000000,0.071518,0.320000,0.026846,-1
0.520833,0.400000,0.181818,0.056462,0.200000,0.020570,-1
0.229167,0.566667,0.090909,0.063990,0.320000,0.017617,-1
0.187500,0.433333,0.909091,0.094103,0.240000,0.020302,-1
0.885417,0.333333,0.636364,0.161857,3.580000,0.145134,-1
0.645833,0.366667,0.090909,0.094103,0.580000,0.026342,-1
0.406250,0.533333,0.818182,0.139272,0.360000,0.031711,-1
0.635417,0.566667,0.454545,0.048934,0.160000,0.017819,-1
0.520833,0.633333,0.363636,0.214555,0.440000,0.052282,-1
0.552083,0.700000,0.818182,0.033877,0.140000,0.016208,-1
0.416667,0.500000,0.909091,0.109159,0.380000,0.022987,-1
0.406250,0.533333,0.727273,0.109159,0.420000,0.025000,-1
0.322917,0.400000,0.909091,0.041405,0.180000,0.018289,-1
0.354167,0.700000,0.545455,0.154329,0.300000,0.035403,-1
0.625000,0.533333,0.909091,0.071518,0.680000,0.033758,-1
0.885417,0.733333,0.363636,0.063990,0.460000,0.031342,-1
0.958333,0.733333,0.454545,0.048934,0.240000,0.020336,-1
0.270833,0.233333,0.181818,0.018821,0.040000,0.006711,-1
0.677083,0.033333,0.545455,0.109159,0.680000,0.037785,-1
0.885417,0.066667,1.000000,0.026349,0.160000,0.010906,-1
0.875000,0.133333,0.727273,0.071518,0.440000,0.021644,-1
0.552083,0.200000,0.363636,0.048934,0.100000,0.017819,-1
0.739583,0.933333,0.454545,0.056462,0.340000,0.017617,-1
0.656250,0.300000,0.272727,0.056462,0.280000,0.016275,-1
0.541667,0.666667,0.636364,0.033877,0.160000,0.010906,-1
0.895833,0.100000,0.272727,0.018821,0.220000,0.024329,-1
0.354167,0.366667,0.454545,0.161857,1.260000,0.054530,-1
0.302083,0.833333,0.181818,0.274780,0.840000,0.054530,-1
0.218750,0.100000,0.454545,0.229611,3.580000,0.148926,-1
0.427083,0.433333,0.272727,0.041405,0.200000,0.013591,-1
0.531250,0.433333,0.909091,0.094103,0.200000,0.029027,-1
0.552083,0.900000,1.000000,0.282309,0.980000,0.064597,-1
0.697917,0.366667,0.909091,0.116688,1.620000,0.072416,-1
0.343750,0.533333,1.000000,0.161857,0.740000,0.041107,-1
0.802083,1.000000,0.545455,0.101631,0.700000,0.030369,-1
0.916667,0.533333,0.909091,0.018821,0.140000,0.020134,-1
0.750000,0.433333,0.181818,0.026349,0.140000,0.016846,-1
0.614583,0.466667,0.454545,0.018821,0.100000,0.011577,-1
0.552083,0.166667,0.181818,0.079046,0.160000,0.017617,-1
0.333333,0.733333,0.272727,0.033877,0.120000,0.013591,-1
0.312500,0.200000,0.454545,0.048934,0.140000,0.013423,-1
0.885417,0.966667,0.000000,0.094103,0.460000,0.023658,-1
0.812500,0.133333,0.454545,0.071518,0.360000,0.018289,-1
0.416667,0.800000,0.181818,0.071518,0.220000,0.018289,-1
0.989583,0.533333,0.000000,0.109159,0.900000,0.038423,-1
0.531250,0.133333,0.090909,0.033877,0.140000,0.010906,-1
0.666667,0.166667,0.090909,0.026349,0.120000,0.012919,-1
0.625000,0.433333,0.090909,0.184442,1.740000,0.070973,-1
0.937500,0.333333,0.636364,0.026349,0.100000,0.012919,-1
0.177083,0.633333,0.272727,0.048934,0.340000,0.016275,-1
0.197917,0.333333,0.090909,0.033877,0.180000,0.010906,-1
0.541667,0.433333,0.090909,0.056462,0.220000,0.014933,-1
0.281250,0.966667,0.545455,0.094103,0.240000,0.030537,-1
0.197917,1.000000,0.181818,0.154329,0.920000,0.048255,-1
0.239583,0.600000,0.181818,0.079046,0.320000,0.025369,-1
0.843750,0.700000,0.727273,0.079046,0.600000,0.026342,-1
0.270833,0.133333,0.090909,0.041405,0.120000,0.015101,-1
0.552083,0.066667,0.090909,0.018821,0.080000,0.008389,-1
0.583333,0.333333,0.727273,0.101631,0.640000,0.035369,-1
0.364583,0.666667,0.818182,0.101631,0.580000,0.031040,-1
0.375000,0.666667,0.636364,0.244668,1.440000,0.082047,-1
0.843750,0.400000,0.181818,0.048934,0.320000,0.019631,-1
0.864583,0.733333,0.090909,0.116688,1.340000,0.048490,-1
0.666667,0.400000,0.909091,0.169385,1.580000,0.056544,-1
0.854167,0.766667,0.454545,0.086575,0.360000,0.031879,-1
0.260417,0.466667,0.454545,0.041405,0.140000,0.011745,-1
0.750000,0.633333,0.272727,0.071518,0.400000,0.020973,-1
0.281250,0.766667,0.545455,0.056462,0.420000,0.018960,-1
0.812500,0.933333,0.818182,0.079046,0.400000,0.027685,-1
0.562500,0.700000,0.818182,0.116688,0.160000,0.021644,-1
0.291667,0.266667,0.909091,0.041405,0.140000,0.014933,-1
0.947917,0.166667,0.545455,0.131744,1.260000,0.048490,-1
0.916667,0.166667,0.363636,0.033877,0.300000,0.014262,-1
0.614583,0.600000,0.636364,0.048934,0.260000,0.019295,-1
0.583333,0.133333,0.181818,0.041405,0.220000,0.012919,-1
0.645833,0.500000,0.454545,0.026349,0.240000,0.014262,-1
0.354167,0.433333,0.000000,0.026349,0.100000,0.012248,-1
0.937500,0.800000,0.181818,0.026349,0.360000,0.016275,-1
0.197917,0.500000,0.545455,0.033877,0.160000,0.015302,-1
0.395833,0.333333,0.727273,0.086575,0.180000,0.018289,-1
0.593750,0.800000,0.272727,0.079046,0.420000,0.021644,-1
0.187500,0.633333,0.272727,0.033877,0.260000,0.016846,-1
0.572917,0.233333,0.545455,0.048934,0.140000,0.017282,-1
0.437500,0.433333,1.000000,0.101631,0.300000,0.022987,-1
0.666667,0.433333,0.636364,0.071518,0.520000,0.030369,-1
0.604167,0.533333,0.090909,0.214555,1.980000,0.071309,-1
0.812500,0.766667,0.818182,0.079046,0.420000,0.030537,-1
0.593750,0.433333,0.636364,0.048934,0.120000,0.014933,-1
0.645833,0.700000,0.727273,0.056462,0.320000,0.019631,-1
0.968750,0.000000,0.454545,0.018821,0.160000,0.010235,-1
0.416667,0.166667,0.272727,0.033877,0.160000,0.010906,-1
0.364583,0.300000,1.000000,0.041405,0.200000,0.017282,-1
0.343750,0.500000,0.545455,0.131744,0.460000,0.032383,-1
0.854167,0.833333,0.454545,0.071518,0.540000,0.041611,-1
0.750000,1.000000,0.545455,0.207026,1.520000,0.059899,-1
0.656250,0.633333,0.000000,0.063990,0.360000,0.024664,-1
0.927083,0.466667,0.636364,0.063990,0.560000,0.023658,-1
0.572917,0.300000,0.545455,0.101631,0.240000,0.027886,-1
0.791667,0.433333,0.181818,0.033877,0.180000,0.031040,-1
0.760417,0.200000,0.000000,0.056462,0.300000,0.015604,-1
0.739583,0.800000,0.090909,0.041405,0.180000,0.012248,-1
0.708333,0.033333,0.545455,0.094103,0.440000,0.025671,-1
0.531250,1.000000,0.000000,0.048934,0.200000,0.013591,-1
0.750000,0.466667,0.636364,0.131744,0.640000,0.043624,-1
0.854167,0.133333,0.454545,0.094103,0.640000,0.029698,-1
0.625000,0.000000,0.818182,0.109159,1.160000,0.041779,-1
0.281250,0.300000,0.545455,0.109159,0.600000,0.034060,-1
0.843750,0.133333,0.363636,0.041405,0.200000,0.017953,-1
0.572917,0.966667,0.363636,0.026349,0.180000,0.016779,-1
0.656250,0.200000,0.636364,0.063990,0.320000,0.016946,-1
0.833333,0.066667,0.272727,0.011292,0.100000,0.006879,-1
0.395833,0.466667,0.272727,0.079046,0.600000,0.029027,-1
0.833333,0.166667,0.636364,0.026349,0.200000,0.018289,-1
0.864583,0.900000,0.272727,0.003764,0.080000,0.009564,-1
0.395833,0.066667,0.545455,0.041405,0.060000,0.014262,-1
0.385417,0.166667,0.454545,0.109159,0.680000,0.032383,-1
0.218750,0.033333,0.818182,0.041405,0.220000,0.016846,-1
0.333333,0.500000,0.181818,0.207026,2.540000,0.105436,-1
0.343750,0.366667,0.363636,0.011292,0.100000,0.007550,-1
0.270833,0.633333,0.090909,0.063990,0.320000,0.025805,-1
0.947917,0.066667,0.545455,0.101631,0.860000,0.044463,-1
0.156250,0.033333,0.272727,0.033877,0.120000,0.010235,-1
0.406250,0.200000,0.272727,0.086575,0.320000,0.019631,-1
0.812500,0.166667,0.000000,0.056462,0.300000,0.020302,-1
0.843750,0.266667,0.272727,0.146801,1.360000,0.058221,-1
0.875000,0.833333,0.090909,0.018821,0.160000,0.012919,-1
0.562500,0.200000,0.909091,0.086575,0.320000,0.026342,-1
0.114583,0.766667,0.272727,0.191970,3.080000,0.124161,-1
0.593750,0.100000,0.454545,0.011292,0.100000,0.007550,-1
0.729167,0.600000,0.454545,0.018821,0.100000,0.011577,-1
0.781250,0.100000,0.181818,0.033877,0.120000,0.010235,-1
0.833333,0.500000,0.181818,0.041405,0.240000,0.016946,-1
0.802083,0.066667,0.545455,0.131744,0.660000,0.031711,-1
0.583333,0.466667,0.363636,0.109159,0.460000,0.029027,-1
0.239583,0.433333,0.636364,0.071518,0.240000,0.016946,-1
0.875000,0.666667,0.636364,0.161857,0.860000,0.043121,-1
0.937500,0.666667,0.636364,0.033877,0.200000,0.026107,-1
0.229167,0.300000,0.090909,0.169385,0.560000,0.038591,-1
0.760417,0.066667,0.454545,0.048934,0.260000,0.014262,-1
0.947917,0.600000,0.090909,0.041405,0.280000,0.016779,-1
0.656250,0.866667,0.272727,0.124216,0.860000,0.038423,-1
0.322917,0.200000,0.545455,0.259724,3.520000,0.170470,-1
0.218750,0.566667,1.000000,0.289837,3.640000,0.157114,-1
0.781250,0.100000,0.272727,0.048934,0.400000,0.025000,-1
0.781250,0.300000,0.090909,0.063990,0.920000,0.033054,-1
0.427083,0.466667,0.272727,0.041405,0.140000,0.021443,-1
0.250000,0.500000,0.000000,0.056462,0.200000,0.014933,-1
0.895833,0.133333,0.454545,0.101631,0.660000,0.038087,-1
0.843750,0.033333,0.181818,0.063990,0.240000,0.026107,-1
0.593750,0.300000,0.181818,0.026349,0.080000,0.013423,-1
0.541667,0.866667,0.181818,0.176913,1.080000,0.049832,-1
0.333333,0.566667,0.636364,0.116688,0.500000,0.026342,-1
0.572917,0.266667,0.363636,0.116688,0.860000,0.039094,-1
0.750000,0.566667,0.454545,0.267252,2.840000,0.107215,-1
0.645833,0.666667,0.181818,0.071518,0.380000,0.018960,-1
0.427083,0.600000,0.636364,0.063990,0.220000,0.024899,-1
0.531250,0.566667,0.181818,0.094103,0.420000,0.024329,-1
0.208333,0.800000,0.545455,0.071518,0.260000,0.027315,-1
0.427083,0.333333,0.727273,0.116688,0.500000,0.027685,-1
0.697917,0.400000,0.454545,0.063990,0.360000,0.018289,-1
0.375000,0.800000,0.727273,0.086575,0.320000,0.031913,-1
0.593750,0.300000,0.727273,0.048934,0.180000,0.013591,-1
0.427083,0.600000,0.454545,0.304893,1.900000,0.107852,-1
0.562500,0.100000,0.636364,0.048934,0.240000,0.019295,-1
0.802083,0.566667,0.727273,0.026349,0.100000,0.012919,-1
0.354167,0.266667,0.636364,0.079046,0.420000,0.020302,-1
0.687500,0.333333,0.090909,0.131744,0.880000,0.040436,-1
0.333333,0.433333,0.363636,0.033877,0.000000,0.009228,-1
0.854167,0.866667,0.909091,0.063990,0.400000,0.022315,-1
0.677083,0.633333,0.272727,0.086575,0.920000,0.041812,-1
0.166667,1.000000,0.636364,0.041405,0.120000,0.012248,-1
0.604167,0.333333,1.000000,0.056462,0.120000,0.027013,-1
0.687500,0.266667,0.090909,0.086575,0.940000,0.045034,-1
0.541667,0.033333,0.818182,0.033877,0.060000,0.009564,-1
0.718750,0.700000,0.363636,0.184442,1.440000,0.062248,-1
0.625000,1.000000,0.545455,0.086575,0.280000,0.031678,-1
0.197917,0.433333,1.000000,0.018821,0.140000,0.008893,-1
0.239583,0.733333,0.090909,0.056462,0.180000,0.014262,-1
0.239583,0.800000,0.363636,0.109159,0.420000,0.029362,-1
0.656250,0.800000,0.454545,0.079046,0.520000,0.022987,-1
0.989583,0.766667,0.000000,0.048934,0.340000,0.016275,-1
0.760417,0.500000,0.090909,0.109159,1.300000,0.046477,-1
0.854167,0.233333,0.545455,0.124216,1.040000,0.044463,-1
0.229167,0.433333,0.909091,0.063990,0.160000,0.021644,-1
0.260417,0.133333,0.909091,0.056462,0.320000,0.016275,-1
0.260417,0.200000,0.636364,0.304893,0.940000,0.058557,-1
0.270833,0.433333,1.000000,0.101631,0.340000,0.022987,-1
0.802083,0.133333,0.909091,0.056462,0.420000,0.024899,-1
0.593750,0.333333,0.181818,0.048934,0.200000,0.020570,-1
0.614583,0.466667,0.454545,0.041405,0.200000,0.022315,-1
0.312500,0.200000,1.000000,0.018821,0.100000,0.008893,-1
0.416667,0.200000,0.000000,0.139272,0.840000,0.050336,-1
0.281250,1.000000,0.181818,0.063990,0.260000,0.020302,-1
0.604167,0.700000,0.636364,0.011292,0.000000,0.006208,-1
0.802083,0.366667,0.090909,0.033877,0.180000,0.014933,-1
0.770833,0.400000,0.636364,0.063990,0.260000,0.024094,-1
0.645833,0.833333,0.454545,0.094103,0.480000,0.027013,-1
0.718750,0.733333,0.181818,0.048934,0.220000,0.014262,-1
0.645833,0.700000,0.272727,0.094103,0.380000,0.022315,-1
0.635417,0.466667,0.363636,0.048934,0.220000,0.013591,-1
0.656250,0.500000,0.272727,0.048934,0.200000,0.020872,-1
0.708333,0.433333,0.818182,0.086575,0.380000,0.035369,-1
0.656250,0.833333,0.363636,0.063990,0.840000,0.033725,-1
0.270833,0.033333,0.818182,0.048934,0.180000,0.012919,-1
0.677083,0.600000,0.636364,0.086575,0.860000,0.040201,-1
0.385417,0.900000,0.636364,0.342535,3.460000,0.145705,-1
0.812500,0.966667,0.545455,0.048934,0.560000,0.037752,-1
0.614583,0.800000,0.272727,0.116688,0.720000,0.035067,-1
0.645833,0.800000,0.272727,0.109159,0.860000,0.037081,-1
0.729167,0.533333,0.090909,0.063990,0.740000,0.029027,-1
0.250000,0.633333,0.272727,0.056462,0.180000,0.014262,-1
0.593750,0.233333,0.363636,0.048934,0.240000,0.025000,-1
0.729167,0.100000,0.090909,0.056462,0.280000,0.022315,-1
0.270833,0.866667,0.818182,0.056462,0.220000,0.020973,-1
0.375000,0.133333,0.909091,0.191970,2.300000,0.106242,-1
